Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
12310,Shrek 2,XB,2004,Platform,Activision,0.4,0.13,0,0.02
12311,Shrek 2 and Shark Tale 2-in-1 Pack,GBA,2005,Misc,Activision,0.1,0.04,0,0
12312,Shrek 2: Beg for Mercy,GBA,2004,Adventure,Activision,0.42,0.15,0,0.01
12313,Shrek Extra Large,GC,2002,Platform,TDK Mediactive,0.13,0.03,0,0
12314,Shrek Smash n' Crash Racing,GC,2006,Racing,Activision,0.1,0.03,0,0
12315,Shrek Smash n' Crash Racing,PSP,2006,Racing,Activision,0.08,0,0,0.01
12316,Shrek Super Party,PS2,2002,Misc,TDK Mediactive,0.14,0.11,0,0.04
12317,Shrek Super Party,XB,2002,Misc,TDK Mediactive,0.1,0.03,0,0
12318,Shrek Super Party,GC,2003,Misc,TDK Mediactive,0.04,0.01,0,0
12319,Shrek SuperSlam,PS2,2005,Action,Activision,0.24,0.19,0,0.06
12320,Shrek SuperSlam,GBA,2005,Action,Activision,0.24,0.09,0,0.01
12321,Shrek SuperSlam,GC,2005,Action,Activision,0.17,0.04,0,0.01
12322,Shrek SuperSlam,DS,2005,Action,Activision,0.17,0,0,0.01
12323,Shrek SuperSlam,XB,2005,Action,Activision,0.07,0.02,0,0
12324,Shrek Swamp Kart Speedway,GBA,2002,Racing,TDK Mediactive,0.22,0.08,0,0.01
12325,Shrek the Third,X360,2007,Action,Activision,0.54,0.1,0,0.06
12326,Shrek the Third,PS2,2007,Action,Activision,0.4,0.02,0,0.07
12327,Shrek the Third,PSP,2007,Action,Activision,0.08,0.15,0,0.09
12328,Shrek the Third,DS,N/A,Action,Activision,0.26,0.02,0,0.02
12329,Shrek the Third,Wii,2007,Action,Activision,0.26,0.01,0,0.02
12330,Shrek: Forever After,DS,2010,Platform,Activision,0.19,0.1,0,0.03
12331,Shrek: Forever After,Wii,2010,Platform,Activision,0.19,0.09,0,0.03
12332,Shrek: Forever After,PS3,2010,Platform,Activision,0.16,0.02,0,0.02
12333,Shrek: Forever After,X360,2010,Platform,Activision,0.09,0,0,0.01
12334,Shrek: Hassle at the Castle,GBA,2002,Action,TDK Mediactive,0.47,0.17,0,0.01
12335,Shrek: Ogres & Dronkeys,DS,2007,Simulation,Activision,0.26,0,0,0.02
12336,Shrek: Reekin' Havoc,GBA,2003,Platform,TDK Mediactive,0.15,0.06,0,0
12337,Shrek's Carnival Craze Party Games,Wii,2008,Misc,Activision,0.28,0,0,0.02
12338,Shrek's Carnival Craze Party Games,DS,2008,Misc,Activision,0.22,0,0,0.02
12339,Shrek's Carnival Craze Party Games,PS2,2008,Misc,Activision,0.03,0.03,0,0.01
12340,Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,DS,2008,Action,Konami Digital Entertainment,0,0,0.05,0
12341,Shugo Chara! Amunonijiro Chara Change,DS,2008,Action,Konami Digital Entertainment,0,0,0.03,0
12342,Shukufuku no Campanella Portable,PSP,2010,Adventure,Kadokawa Shoten,0,0,0.04,0
12343,Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,PSP,2011,Strategy,System Soft,0,0,0.01,0
12344,Shutter Island,PC,2009,Adventure,Merscom LLC,0,0.17,0,0.03
12345,Sid Meier's Civilization IV,PC,2005,Strategy,Take-Two Interactive,0.02,0.12,0,0.03
12346,Sid Meier's Civilization Revolution,X360,2008,Strategy,Take-Two Interactive,0.58,0.17,0,0.07
12347,Sid Meier's Civilization Revolution,PS3,2008,Strategy,Take-Two Interactive,0.49,0.19,0.01,0.1
12348,Sid Meier's Civilization Revolution,DS,2008,Strategy,Take-Two Interactive,0.38,0.03,0.02,0.04
12349,Sid Meier's Civilization Revolution 2+,PSV,2015,Strategy,Take-Two Interactive,0,0,0.02,0
12350,Sid Meier's Civilization V,PC,2010,Strategy,Take-Two Interactive,0.98,0.52,0,0.19
12351,Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,0.11,0.22,0,0.03
12352,Sid Meier's Pirates!,PSP,2007,Strategy,Take-Two Interactive,0.16,0.01,0,0.02
12353,Sid Meier's Pirates!,Wii,2010,Strategy,Take-Two Interactive,0.13,0.02,0,0.01
12354,Sid Meier's Pirates!,XB,2005,Strategy,Take-Two Interactive,0.11,0.03,0,0.01
12355,Sid Meier's Railroads!,PC,2006,Simulation,Take-Two Interactive,0.01,0.03,0,0.01
12356,Sidewinder Max,PS2,2000,Simulation,Asmik Ace Entertainment,0,0,0.09,0
12357,Sigma Harmonics,DS,2008,Role-Playing,Square Enix,0,0,0.07,0
12358,Sigma Star Saga,GBA,2005,Role-Playing,Atari,0.04,0.01,0,0
12359,Silent Bomber,PS,1999,Action,Virgin Interactive,0.01,0.01,0,0
12360,Silent Hill,PS,1999,Action,Konami Digital Entertainment,0.71,0.48,0.3,0.1
12361,Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment,0.62,0.49,0,0.16
